timestamp,dvol,dvol_open,dvol_high,dvol_low
2023-04-26 00:00:00+00:00,55.47,52.39,58.62,51.68
2023-04-27 00:00:00+00:00,55.07,55.46,56.97,53.47
2023-04-28 00:00:00+00:00,50.73,55.07,55.1,50.61
2023-04-29 00:00:00+00:00,50.68,50.73,51.01,50.1
2023-04-30 00:00:00+00:00,53.3,50.68,53.3,49.22
2023-05-01 00:00:00+00:00,53.19,53.3,55.07,53.02
2023-05-02 00:00:00+00:00,53.21,53.19,53.55,51.95
2023-05-03 00:00:00+00:00,52.92,53.21,54.41,50.94
2023-05-04 00:00:00+00:00,51.9,52.92,54.03,51.6
2023-05-05 00:00:00+00:00,51.67,51.9,52.6,51.41
2023-05-06 00:00:00+00:00,50.53,51.67,51.99,50.26
2023-05-07 00:00:00+00:00,51.68,50.53,51.72,49.72
2023-05-08 00:00:00+00:00,51.34,51.68,51.87,50.79
2023-05-09 00:00:00+00:00,51.98,51.34,52.02,51.07
2023-05-10 00:00:00+00:00,50.86,51.98,52.31,50.55
2023-05-11 00:00:00+00:00,51.21,50.86,51.98,48.61
2023-05-12 00:00:00+00:00,50.09,51.21,52.86,50.09
2023-05-13 00:00:00+00:00,48.35,50.09,50.09,48.23
2023-05-14 00:00:00+00:00,48.02,48.35,48.5,47.53
2023-05-15 00:00:00+00:00,52.28,48.02,53.18,47.94
2023-05-16 00:00:00+00:00,50.57,52.28,52.51,50.33
2023-05-17 00:00:00+00:00,49.72,50.57,50.57,49.16
2023-05-18 00:00:00+00:00,46.28,49.72,49.91,46.1
2023-05-19 00:00:00+00:00,46.52,46.28,46.95,45.07
2023-05-20 00:00:00+00:00,46.34,46.52,47.11,45.52
2023-05-21 00:00:00+00:00,47.02,46.34,47.63,45.51
2023-05-22 00:00:00+00:00,47.58,47.02,48.0,45.54
2023-05-23 00:00:00+00:00,50.08,47.58,50.25,46.2
2023-05-24 00:00:00+00:00,51.3,50.08,52.23,48.91
2023-05-25 00:00:00+00:00,47.77,51.3,51.56,47.31
2023-05-26 00:00:00+00:00,45.24,47.77,47.79,43.56
2023-05-27 00:00:00+00:00,43.09,45.24,45.3,42.98
2023-05-28 00:00:00+00:00,49.94,43.09,49.94,43.07
2023-05-29 00:00:00+00:00,47.12,49.94,50.57,46.34
2023-05-30 00:00:00+00:00,44.68,47.12,47.38,44.22
2023-05-31 00:00:00+00:00,43.93,44.68,45.94,43.69
2023-06-01 00:00:00+00:00,42.13,43.86,44.06,41.54
2023-06-02 00:00:00+00:00,41.4,42.13,43.61,39.89
2023-06-03 00:00:00+00:00,39.75,41.4,41.45,39.71
2023-06-04 00:00:00+00:00,41.69,39.75,41.73,38.95
2023-06-05 00:00:00+00:00,40.11,41.69,42.61,39.18
2023-06-06 00:00:00+00:00,43.65,40.11,43.65,39.76
2023-06-07 00:00:00+00:00,45.63,43.64,45.7,41.64
2023-06-08 00:00:00+00:00,41.35,45.63,46.13,41.35
2023-06-09 00:00:00+00:00,40.8,41.35,41.78,40.44
2023-06-10 00:00:00+00:00,43.37,40.8,43.66,40.57
2023-06-11 00:00:00+00:00,42.81,43.37,43.59,42.25
2023-06-12 00:00:00+00:00,46.45,42.81,46.46,39.85
2023-06-13 00:00:00+00:00,45.38,46.45,46.45,45.33
2023-06-14 00:00:00+00:00,44.66,45.38,47.54,42.05
2023-06-15 00:00:00+00:00,46.63,44.66,48.4,43.76
2023-06-16 00:00:00+00:00,45.06,46.63,46.78,43.14
2023-06-17 00:00:00+00:00,42.95,45.06,45.06,42.59
2023-06-18 00:00:00+00:00,45.41,42.95,45.71,42.53
2023-06-19 00:00:00+00:00,45.22,45.41,45.43,43.84
2023-06-20 00:00:00+00:00,52.71,45.22,53.13,45.14
2023-06-21 00:00:00+00:00,55.83,52.71,59.24,51.99
2023-06-22 00:00:00+00:00,51.05,55.83,56.2,50.91
2023-06-23 00:00:00+00:00,52.71,51.05,53.97,49.39
2023-06-24 00:00:00+00:00,49.15,52.71,52.75,44.6
2023-06-25 00:00:00+00:00,49.51,49.15,50.83,48.72
2023-06-26 00:00:00+00:00,49.51,49.51,52.12,48.66
2023-06-27 00:00:00+00:00,48.92,49.51,50.67,48.87
2023-06-28 00:00:00+00:00,48.44,48.92,48.92,46.94
2023-06-29 00:00:00+00:00,43.52,48.44,48.59,43.41
2023-06-30 00:00:00+00:00,46.06,43.52,47.17,42.92
2023-07-01 00:00:00+00:00,46.56,46.06,46.56,44.63
2023-07-02 00:00:00+00:00,47.88,46.56,47.89,46.54
2023-07-03 00:00:00+00:00,49.05,47.88,49.62,46.67
2023-07-04 00:00:00+00:00,46.61,48.16,48.18,46.47
2023-07-05 00:00:00+00:00,46.45,46.61,46.65,45.22
2023-07-06 00:00:00+00:00,47.96,46.45,49.92,45.36
2023-07-07 00:00:00+00:00,45.04,47.96,48.37,44.81
2023-07-08 00:00:00+00:00,44.01,45.04,45.27,43.55
2023-07-09 00:00:00+00:00,43.89,44.01,44.67,43.45
2023-07-10 00:00:00+00:00,44.26,43.89,44.83,43.55
2023-07-11 00:00:00+00:00,43.96,44.26,44.53,43.07
2023-07-12 00:00:00+00:00,41.26,43.96,46.49,41.23
2023-07-13 00:00:00+00:00,45.15,41.26,46.55,40.63
2023-07-14 00:00:00+00:00,42.21,45.15,45.45,42.08
2023-07-15 00:00:00+00:00,42.98,42.21,43.32,41.63
2023-07-16 00:00:00+00:00,42.1,42.98,43.03,42.01
2023-07-17 00:00:00+00:00,42.9,42.1,43.47,41.79
2023-07-18 00:00:00+00:00,42.67,42.9,43.57,42.06
2023-07-19 00:00:00+00:00,40.53,42.67,42.68,40.52
2023-07-20 00:00:00+00:00,41.62,40.53,42.05,40.08
2023-07-21 00:00:00+00:00,38.76,41.62,41.79,38.63
2023-07-22 00:00:00+00:00,39.07,38.76,39.31,37.36
2023-07-23 00:00:00+00:00,39.27,39.07,39.49,37.54
2023-07-24 00:00:00+00:00,38.25,39.27,39.65,37.58
2023-07-25 00:00:00+00:00,37.77,38.25,38.38,36.47
2023-07-26 00:00:00+00:00,38.15,37.77,39.35,37.58
2023-07-27 00:00:00+00:00,36.36,38.15,38.15,36.34
2023-07-28 00:00:00+00:00,35.47,36.36,36.55,35.05
2023-07-29 00:00:00+00:00,34.96,35.47,35.48,34.11
2023-07-30 00:00:00+00:00,36.33,34.96,36.4,34.96
2023-07-31 00:00:00+00:00,36.77,36.33,37.19,35.75
2023-08-01 00:00:00+00:00,36.56,36.17,37.07,35.59
2023-08-02 00:00:00+00:00,36.82,36.56,37.46,36.4
2023-08-03 00:00:00+00:00,36.21,36.82,37.08,35.74
2023-08-04 00:00:00+00:00,34.37,36.21,36.26,34.21
2023-08-05 00:00:00+00:00,33.79,34.37,34.6,33.42
2023-08-06 00:00:00+00:00,34.03,33.79,34.3,33.32
2023-08-07 00:00:00+00:00,36.29,34.03,36.75,33.93
2023-08-08 00:00:00+00:00,39.85,36.29,41.23,34.76
2023-08-09 00:00:00+00:00,38.73,39.85,40.64,38.51
2023-08-10 00:00:00+00:00,36.2,38.73,38.73,36.04
2023-08-11 00:00:00+00:00,32.74,36.2,36.22,32.74
