asset,time,CapMVRVCur
btc,2017-01-01T00:00:00.000000000Z,2.30193946
btc,2017-01-02T00:00:00.000000000Z,2.33524167
btc,2017-01-03T00:00:00.000000000Z,2.35770988
btc,2017-01-04T00:00:00.000000000Z,2.55770131
btc,2017-01-05T00:00:00.000000000Z,2.23704042
btc,2017-01-06T00:00:00.000000000Z,2.00164999
btc,2017-01-07T00:00:00.000000000Z,2.0252978
btc,2017-01-08T00:00:00.000000000Z,2.04304794
btc,2017-01-09T00:00:00.000000000Z,2.02053011
btc,2017-01-10T00:00:00.000000000Z,2.02492109
btc,2017-01-11T00:00:00.000000000Z,1.76845775
btc,2017-01-12T00:00:00.000000000Z,1.81077416
btc,2017-01-13T00:00:00.000000000Z,1.85366729
btc,2017-01-14T00:00:00.000000000Z,1.83889611
btc,2017-01-15T00:00:00.000000000Z,1.84823542
btc,2017-01-16T00:00:00.000000000Z,1.86155157
btc,2017-01-17T00:00:00.000000000Z,2.0228738
btc,2017-01-18T00:00:00.000000000Z,1.96641888
btc,2017-01-19T00:00:00.000000000Z,2.01003826
btc,2017-01-20T00:00:00.000000000Z,1.99263298
btc,2017-01-21T00:00:00.000000000Z,2.05421871
btc,2017-01-22T00:00:00.000000000Z,2.04635127
btc,2017-01-23T00:00:00.000000000Z,2.03609568
btc,2017-01-24T00:00:00.000000000Z,1.96451725
btc,2017-01-25T00:00:00.000000000Z,1.97868447
btc,2017-01-26T00:00:00.000000000Z,2.02100235
btc,2017-01-27T00:00:00.000000000Z,2.02710253
btc,2017-01-28T00:00:00.000000000Z,2.03067894
btc,2017-01-29T00:00:00.000000000Z,2.00928142
btc,2017-01-30T00:00:00.000000000Z,2.01726706
btc,2017-01-31T00:00:00.000000000Z,2.11732767
btc,2017-02-01T00:00:00.000000000Z,2.1532295
btc,2017-02-02T00:00:00.000000000Z,2.19051199
btc,2017-02-03T00:00:00.000000000Z,2.19895326
btc,2017-02-04T00:00:00.000000000Z,2.23392412
btc,2017-02-05T00:00:00.000000000Z,2.18915215
btc,2017-02-06T00:00:00.000000000Z,2.20253705
btc,2017-02-07T00:00:00.000000000Z,2.25911131
btc,2017-02-08T00:00:00.000000000Z,2.25075614
btc,2017-02-09T00:00:00.000000000Z,2.10032332
btc,2017-02-10T00:00:00.000000000Z,2.12395089
btc,2017-02-11T00:00:00.000000000Z,2.15345527
btc,2017-02-12T00:00:00.000000000Z,2.14002159
btc,2017-02-13T00:00:00.000000000Z,2.12270941
btc,2017-02-14T00:00:00.000000000Z,2.14502476
btc,2017-02-15T00:00:00.000000000Z,2.14664641
btc,2017-02-16T00:00:00.000000000Z,2.19057597
btc,2017-02-17T00:00:00.000000000Z,2.22822443
btc,2017-02-18T00:00:00.000000000Z,2.22851853
btc,2017-02-19T00:00:00.000000000Z,2.22135058
btc,2017-02-20T00:00:00.000000000Z,2.27876692
btc,2017-02-21T00:00:00.000000000Z,2.35331243
btc,2017-02-22T00:00:00.000000000Z,2.3431243
btc,2017-02-23T00:00:00.000000000Z,2.45151251
btc,2017-02-24T00:00:00.000000000Z,2.42731203
btc,2017-02-25T00:00:00.000000000Z,2.35507801
btc,2017-02-26T00:00:00.000000000Z,2.41199874
btc,2017-02-27T00:00:00.000000000Z,2.42985611
btc,2017-02-28T00:00:00.000000000Z,2.41245373
btc,2017-03-01T00:00:00.000000000Z,2.48115883
btc,2017-03-02T00:00:00.000000000Z,2.53571034
